user_id,user_paid,user_registered,onboarded,subscription_type,completed_date,onboarding_country,onboarding_heard_from_label,onboarding_goals_label,onboarding_learn_label
517109,1,4/27/2023,onboarded,monthly,4/27/2023,Pakistan,youtube,I want to join an industry-leading company.,Machine and deep learning
517124,1,4/27/2023,onboarded,annual,4/27/2023,Colombia,google,I want to join an industry-leading company.,Machine and deep learning
517235,1,4/27/2023,onboarded,annual,4/27/2023,Bangladesh,friend,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
517295,1,4/27/2023,onboarded,annual,4/27/2023,Mexico,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
517301,1,4/27/2023,onboarded,annual,5/19/2023,United States of America,youtube,I want to improve my data skills.,Introduction to the world of data and data science
517472,1,4/28/2023,onboarded,annual,4/28/2023,India,youtube,I want to improve my data skills.,Introduction to the world of data and data science
517588,1,4/28/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
517655,1,4/28/2023,onboarded,annual,4/28/2023,India,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
517713,1,4/28/2023,onboarded,annual,4/28/2023,Sudan,friend,NULL,Introduction to the world of data and data science
517739,1,4/28/2023,onboarded,annual,4/28/2023,Nigeria,other,I want to join an industry-leading company.,Machine and deep learning
517759,0,4/28/2023,onboarded,NULL,4/28/2023,United States of America,other,I want to join an industry-leading company.,Machine and deep learning
517786,1,4/28/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
517789,1,4/28/2023,onboarded,annual,4/28/2023,Germany,youtube,NULL,Introduction to the world of data and data science
517875,1,4/29/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
517920,1,4/29/2023,onboarded,annual,4/29/2023,Ukraine,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
518084,1,4/29/2023,onboarded,annual,4/29/2023,United Kingdom,facebook,NULL,Introduction to the world of data and data science
518096,1,4/29/2023,onboarded,annual,4/29/2023,India,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
518104,1,4/29/2023,onboarded,annual,4/29/2023,India,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
518182,1,4/29/2023,not-onboarded,monthly,NULL,NULL,multiple_sources,NULL,NULL
518251,1,4/30/2023,onboarded,annual,4/30/2023,India,google,I want to earn a higher salary.,Business analysis
518265,0,4/30/2023,onboarded,NULL,4/30/2023,Canada,google,I want to become a data scientist.,Data analysis and data visualization
518266,1,4/30/2023,onboarded,annual,4/30/2023,India,youtube,NULL,Introduction to the world of data and data science
518583,1,5/1/2023,onboarded,annual,5/1/2023,Germany,instagram,NULL,Introduction to the world of data and data science
518603,1,5/1/2023,onboarded,monthly,5/1/2023,Romania,youtube,NULL,Introduction to the world of data and data science
518658,1,5/1/2023,onboarded,annual,5/1/2023,India,facebook,I want to join an industry-leading company.,Machine and deep learning
518676,1,5/1/2023,not-onboarded,monthly,NULL,NULL,multiple_sources,NULL,NULL
518699,1,5/2/2023,onboarded,monthly,5/2/2023,United States of America,instagram,NULL,Introduction to the world of data and data science
518773,1,5/2/2023,onboarded,annual,5/2/2023,South Africa,youtube,NULL,Introduction to the world of data and data science
518828,1,5/2/2023,onboarded,monthly,5/2/2023,Germany,google,I want to become a data scientist.,Data analysis and data visualization
518866,1,5/2/2023,onboarded,annual,5/2/2023,United States of America,youtube,I want to earn a higher salary.,Business analysis
518893,1,5/2/2023,onboarded,annual,5/2/2023,United States of America,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
518906,1,5/2/2023,onboarded,monthly,5/2/2023,Mexico,friend,Other,Specialized advanced topics
518950,1,5/2/2023,onboarded,monthly,5/2/2023,Nigeria,facebook,NULL,Introduction to the world of data and data science
518972,0,5/3/2023,onboarded,NULL,5/3/2023,Singapore,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
518993,1,5/3/2023,onboarded,annual,5/3/2023,United States of America,youtube,I want to become a data scientist.,Data analysis and data visualization
519010,1,5/3/2023,onboarded,annual,5/3/2023,India,youtube,NULL,Introduction to the world of data and data science
519088,1,5/3/2023,onboarded,monthly,5/3/2023,Greece,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
519115,1,5/3/2023,onboarded,annual,5/3/2023,United States of America,google,I want to join an industry-leading company.,Machine and deep learning
519191,1,5/3/2023,onboarded,annual,5/3/2023,United States of America,youtube,I want to join an industry-leading company.,Machine and deep learning
519268,1,5/4/2023,onboarded,monthly,5/4/2023,Denmark,other,I want to become a data scientist.,Data analysis and data visualization
519287,1,5/4/2023,onboarded,annual,5/4/2023,Nigeria,google,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
519330,1,5/4/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
519388,1,5/4/2023,onboarded,quarterly,5/4/2023,India,youtube,NULL,Introduction to the world of data and data science
519402,0,5/4/2023,onboarded,NULL,5/4/2023,United States of America,other,NULL,Introduction to the world of data and data science
519417,0,5/4/2023,onboarded,NULL,5/4/2023,United States of America,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
519428,1,5/4/2023,onboarded,annual,5/4/2023,United States of America,youtube,NULL,Introduction to the world of data and data science
519520,1,5/5/2023,onboarded,monthly,5/5/2023,China,friend,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
519562,1,5/5/2023,onboarded,quarterly,5/31/2023,Pakistan,youtube,I want to become a data scientist.,Data analysis and data visualization
519599,1,5/5/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
519628,1,5/5/2023,onboarded,monthly,5/5/2023,United States of America,google,I want to become a data scientist.,Data analysis and data visualization
519677,0,5/5/2023,onboarded,NULL,5/5/2023,United States of America,youtube,I want to become a data scientist.,Data analysis and data visualization
519792,1,5/6/2023,onboarded,annual,5/6/2023,Bahrain,youtube,NULL,Introduction to the world of data and data science
519801,1,5/6/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
519855,1,5/6/2023,not-onboarded,monthly,NULL,NULL,multiple_sources,NULL,NULL
519900,1,5/6/2023,onboarded,annual,5/6/2023,Canada,youtube,I want to earn a higher salary.,Business analysis
519901,1,5/6/2023,onboarded,annual,5/6/2023,Japan,multiple_sources,NULL,Introduction to the world of data and data science
519911,1,5/6/2023,onboarded,monthly,5/6/2023,India,youtube,NULL,Introduction to the world of data and data science
519945,1,5/6/2023,onboarded,annual,5/6/2023,India,youtube,I want to join an industry-leading company.,Machine and deep learning
519951,1,5/7/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
519955,1,5/7/2023,onboarded,monthly,5/7/2023,Nigeria,twitter,NULL,Introduction to the world of data and data science
520046,1,5/7/2023,onboarded,monthly,5/7/2023,Germany,youtube,NULL,Introduction to the world of data and data science
520198,0,5/8/2023,onboarded,NULL,5/8/2023,Malaysia,youtube,I want to earn a higher salary.,Business analysis
520199,1,5/8/2023,onboarded,monthly,5/8/2023,France,friend,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
520225,1,5/8/2023,not-onboarded,monthly,NULL,NULL,multiple_sources,NULL,NULL
520281,1,5/8/2023,onboarded,annual,5/8/2023,Japan,google,I want to join an industry-leading company.,Machine and deep learning
520306,1,5/8/2023,onboarded,monthly,5/8/2023,South Africa,youtube,I want to join an industry-leading company.,Machine and deep learning
520373,1,5/8/2023,not-onboarded,annual,NULL,NULL,google,NULL,NULL
520374,1,5/8/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
520556,1,5/9/2023,onboarded,monthly,5/9/2023,India,instagram,I want to become a data scientist.,Data analysis and data visualization
520557,0,5/9/2023,not-onboarded,NULL,NULL,NULL,instagram,NULL,NULL
520683,0,5/9/2023,not-onboarded,NULL,NULL,NULL,multiple_sources,NULL,NULL
520703,1,5/9/2023,onboarded,annual,5/9/2023,Nepal,youtube,I want to transition into data science from an unrelated field.,"Programming skills (Python, R, SQL)"
520762,1,5/9/2023,not-onboarded,annual,NULL,NULL,multiple_sources,NULL,NULL
520768,1,5/9/2023,onboarded,monthly,6/21/2023,Netherlands,google,I want to improve my data skills.,Introduction to the world of data and data science
520791,1,5/9/2023,onboarded,annual,5/9/2023,United States of America,youtube,I want to earn a higher salary.,Business analysis
520823,1,5/10/2023,onboarded,monthly,5/10/2023,United States of America,google,I want to become a data scientist.,Data analysis and data visualization
520868,1,5/10/2023,not-onboarded,monthly,NULL,NULL,multiple_sources,NULL,NULL
520905,1,5/10/2023,onboarded,annual,5/10/2023,Greece,youtube,NULL,Introduction to the world of data and data science
520995,1,5/10/2023,onboarded,monthly,5/10/2023,Switzerland,google,NULL,Introduction to the world of data and data science
521054,1,5/10/2023,onboarded,annual,5/10/2023,Brazil,other,I want to become a data scientist.,Data analysis and data visualization
521087,1,5/10/2023,onboarded,monthly,5/10/2023,Poland,youtube,I want to improve my data skills.,Introduction to the world of data and data science
